Cohort,Dev_0,Dev_1,Dev_2,Dev_3,Dev_4,Dev_5,Dev_6,Dev_7,Dev_8,Dev_9,Dev_10,Dev_11,Dev_12,Dev_13,Dev_14,Dev_15,Dev_16,Dev_17,Dev_18,Dev_19,Dev_20,Dev_21,Dev_22,Dev_23,Dev_24,Dev_25,Dev_26,Dev_27,Dev_28,Dev_29,Dev_30,Dev_31,Dev_32,Dev_33,Dev_34,Dev_35,Dev_36,Dev_37,Dev_38,Dev_39,Dev_40,Dev_41,Dev_42,Dev_43,Dev_44,Dev_45,Dev_46,Dev_47,Dev_48,Dev_49,Dev_50,Dev_51,Dev_52,Dev_53,Dev_54,Dev_55,Dev_56,Dev_57,Dev_58,Dev_59,Dev_60,Dev_61,Dev_62,Dev_63,Dev_64
2010 Q1,44.0,91.0,133.0,177.0,217.0,257.0,296.0,330.0,362.0,397.0,429.0,459.0,487.0,514.0,541.0,565.0,591.0,616.0,637.0,659.0,680.0,700.0,719.0,737.0,754.0,772.0,789.0,804.0,819.0,834.0,848.0,860.0,874.0,888.0,899.0,912.0,923.0,934.0,944.0,954.0,963.0,971.0,980.0,988.0,997.0,1004.0,1012.0,1019.0,1025.0,1032.0,1038.0,1045.0,1050.0,1055.0,1061.0,1067.0,1071.0,1076.0,1081.0,1085.0,1090.0,1094.0,1098.0,1102.0,1106.0
2010 Q2,52.0,94.0,140.0,184.0,227.0,264.0,302.0,339.0,376.0,411.0,443.0,476.0,507.0,537.0,565.0,591.0,617.0,641.0,665.0,686.0,709.0,731.0,750.0,768.0,786.0,804.0,822.0,837.0,853.0,868.0,881.0,896.0,910.0,924.0,936.0,948.0,958.0,969.0,979.0,989.0,999.0,1009.0,1018.0,1026.0,1035.0,1043.0,1051.0,1059.0,1066.0,1073.0,1079.0,1085.0,1092.0,1098.0,1103.0,1108.0,1114.0,1119.0,1123.0,1128.0,1132.0,1136.0,1141.0,1145.0,
2010 Q3,41.0,81.0,122.0,162.0,200.0,235.0,270.0,299.0,332.0,359.0,388.0,413.0,440.0,463.0,487.0,511.0,532.0,554.0,575.0,595.0,613.0,632.0,648.0,665.0,682.0,697.0,711.0,725.0,739.0,752.0,764.0,776.0,788.0,800.0,811.0,822.0,832.0,841.0,849.0,857.0,865.0,873.0,880.0,888.0,895.0,902.0,909.0,916.0,922.0,928.0,934.0,939.0,944.0,949.0,954.0,958.0,963.0,967.0,971.0,975.0,979.0,983.0,986.0,,
2010 Q4,40.0,77.0,114.0,150.0,189.0,224.0,260.0,290.0,320.0,352.0,381.0,406.0,434.0,458.0,483.0,507.0,527.0,549.0,570.0,589.0,606.0,623.0,641.0,657.0,674.0,690.0,704.0,720.0,733.0,746.0,760.0,771.0,782.0,793.0,804.0,815.0,826.0,836.0,844.0,854.0,862.0,871.0,879.0,886.0,893.0,900.0,906.0,912.0,918.0,924.0,929.0,935.0,940.0,945.0,950.0,955.0,960.0,964.0,968.0,972.0,976.0,979.0,,,
2011 Q1,40.0,80.0,118.0,157.0,196.0,232.0,265.0,298.0,330.0,360.0,387.0,414.0,438.0,464.0,491.0,514.0,536.0,556.0,579.0,599.0,619.0,640.0,656.0,673.0,690.0,707.0,723.0,738.0,752.0,766.0,778.0,791.0,804.0,815.0,826.0,837.0,848.0,858.0,867.0,877.0,886.0,894.0,902.0,909.0,917.0,924.0,931.0,938.0,945.0,951.0,957.0,963.0,968.0,973.0,979.0,983.0,987.0,992.0,996.0,1000.0,1004.0,,,,
2011 Q2,50.0,95.0,141.0,185.0,225.0,264.0,303.0,343.0,379.0,413.0,448.0,482.0,512.0,544.0,572.0,600.0,626.0,651.0,677.0,701.0,723.0,747.0,767.0,787.0,807.0,825.0,842.0,858.0,875.0,890.0,904.0,918.0,932.0,946.0,959.0,970.0,983.0,995.0,1006.0,1017.0,1027.0,1037.0,1047.0,1055.0,1064.0,1073.0,1081.0,1088.0,1096.0,1102.0,1109.0,1115.0,1121.0,1127.0,1132.0,1137.0,1143.0,1148.0,1154.0,1158.0,,,,,
2011 Q3,48.0,91.0,136.0,174.0,211.0,246.0,283.0,320.0,355.0,389.0,421.0,450.0,478.0,506.0,531.0,556.0,581.0,605.0,626.0,647.0,668.0,686.0,705.0,724.0,741.0,758.0,773.0,789.0,805.0,821.0,835.0,847.0,860.0,873.0,884.0,895.0,907.0,917.0,927.0,937.0,946.0,955.0,964.0,973.0,981.0,988.0,996.0,1002.0,1010.0,1016.0,1022.0,1028.0,1034.0,1039.0,1044.0,1049.0,1054.0,1059.0,1064.0,,,,,,
2011 Q4,47.0,95.0,138.0,178.0,219.0,260.0,299.0,337.0,374.0,407.0,440.0,470.0,499.0,526.0,553.0,579.0,603.0,629.0,654.0,677.0,699.0,721.0,741.0,759.0,776.0,792.0,809.0,824.0,839.0,853.0,868.0,883.0,896.0,909.0,922.0,933.0,945.0,956.0,966.0,976.0,985.0,993.0,1003.0,1011.0,1020.0,1027.0,1035.0,1042.0,1049.0,1056.0,1063.0,1069.0,1075.0,1080.0,1086.0,1091.0,1096.0,1101.0,,,,,,,
2012 Q1,51.0,99.0,143.0,186.0,226.0,264.0,305.0,344.0,378.0,413.0,445.0,475.0,506.0,535.0,564.0,589.0,615.0,641.0,663.0,685.0,708.0,731.0,752.0,771.0,790.0,808.0,824.0,842.0,858.0,873.0,887.0,901.0,915.0,929.0,942.0,953.0,964.0,975.0,985.0,995.0,1004.0,1013.0,1022.0,1031.0,1039.0,1048.0,1056.0,1064.0,1071.0,1078.0,1084.0,1091.0,1097.0,1102.0,1108.0,1113.0,1119.0,,,,,,,,
2012 Q2,54.0,105.0,155.0,203.0,249.0,288.0,328.0,368.0,406.0,440.0,476.0,508.0,542.0,574.0,602.0,629.0,657.0,680.0,705.0,729.0,751.0,774.0,796.0,816.0,835.0,854.0,872.0,890.0,908.0,923.0,939.0,953.0,966.0,979.0,993.0,1005.0,1017.0,1028.0,1039.0,1049.0,1059.0,1068.0,1078.0,1087.0,1096.0,1104.0,1112.0,1120.0,1127.0,1134.0,1141.0,1148.0,1154.0,1160.0,1167.0,1172.0,,,,,,,,,
