Cohort,Exposure
2010 Q1,7000000.0
2010 Q2,7054688.0
2010 Q3,7109375.0
2010 Q4,7164062.0
2011 Q1,7218750.0
2011 Q2,7273438.0
2011 Q3,7328125.0
2011 Q4,7382812.0
2012 Q1,7437500.0
2012 Q2,7492188.0
2012 Q3,7546875.0
2012 Q4,7601562.0
2013 Q1,7656250.0
2013 Q2,7710938.0
2013 Q3,7765625.0
2013 Q4,7820312.0
2014 Q1,7875000.0
2014 Q2,7929688.0
2014 Q3,7984375.0
2014 Q4,8039062.0
2015 Q1,8093750.0
2015 Q2,8148438.0
2015 Q3,8203125.0
2015 Q4,8257812.0
2016 Q1,8312500.0
2016 Q2,8367188.0
2016 Q3,8421875.0
2016 Q4,8476562.0
2017 Q1,8531250.0
2017 Q2,8585938.0
2017 Q3,8640625.0
2017 Q4,8695312.0
2018 Q1,8750000.0
2018 Q2,8804688.0
2018 Q3,8859375.0
2018 Q4,8914062.0
2019 Q1,8968750.0
2019 Q2,9023438.0
2019 Q3,9078125.0
2019 Q4,9132812.0
2020 Q1,9187500.0
2020 Q2,9242188.0
2020 Q3,9296875.0
2020 Q4,9351562.0
2021 Q1,9406250.0
2021 Q2,9460938.0
2021 Q3,9515625.0
2021 Q4,9570312.0
2022 Q1,9625000.0
2022 Q2,9679688.0
2022 Q3,9734375.0
2022 Q4,9789062.0
2023 Q1,9843750.0
2023 Q2,9898438.0
2023 Q3,9953125.0
2023 Q4,10007812.0
2024 Q1,10062500.0
2024 Q2,10117188.0
2024 Q3,10171875.0
2024 Q4,10226562.0
2025 Q1,10281250.0
2025 Q2,10335938.0
2025 Q3,10390625.0
2025 Q4,10445312.0
2026 Q1,10500000.0
