Cohort,Dev_0,Dev_1,Dev_2,Dev_3,Dev_4,Dev_5,Dev_6,Dev_7,Dev_8,Dev_9,Dev_10,Dev_11,Dev_12,Dev_13,Dev_14,Dev_15,Dev_16,Dev_17,Dev_18,Dev_19,Dev_20,Dev_21,Dev_22,Dev_23,Dev_24,Dev_25,Dev_26,Dev_27,Dev_28,Dev_29,Dev_30,Dev_31,Dev_32,Dev_33,Dev_34,Dev_35,Dev_36,Dev_37,Dev_38,Dev_39,Dev_40,Dev_41,Dev_42,Dev_43,Dev_44,Dev_45,Dev_46,Dev_47,Dev_48,Dev_49,Dev_50,Dev_51,Dev_52,Dev_53,Dev_54,Dev_55,Dev_56,Dev_57,Dev_58,Dev_59,Dev_60,Dev_61,Dev_62,Dev_63,Dev_64
2010 Q1,43701717.71,43378783.43,38612431.35,39811517.57,34094367.67,39649808.44,33539423.48,36881210.23,28489712.47,34323467.15,29741525.4,26591603.77,30352464.83,29522864.21,29270169.37,27198519.43,21096648.73,25183982.49,23160292.24,22755179.37,22269413.56,19946016.41,18213966.15,19394051.29,15421127.87,15736759.52,14035021.09,11489099.51,12236069.87,10162684.6,9946523.45,8898375.74,9395193.57,6713138.94,6591503.37,4532880.69,3757473.28,2794348.65,2198760.03,1057492.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010 Q2,44783812.2,36003289.85,34937847.85,38315056.91,33857554.61,38768870.38,39649279.43,33991304.96,30955580.89,32571538.78,27661741.95,30837428.75,28657026.21,24634398.42,24717634.02,28690138.68,23869610.42,26393156.63,20942355.08,19134914.55,18477338.52,17539913.64,17402880.07,15046697.94,14321516.34,15008953.86,16098019.56,12152664.35,12668000.54,10938294.27,11369760.93,8183473.39,9458253.09,7544317.64,6268578.51,5110221.95,3844662.9,3023426.71,1984302.26,1091173.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2010 Q3,31811509.89,34101415.84,33296777.25,30441982.19,31363023.97,37487642.65,27782266.17,28352120.49,27111770.15,24860637.8,28835734.45,29847932.61,29432094.91,27703215.71,21495828.71,24198070.01,23931806.47,22775772.01,17755781.63,21817890.91,16349665.67,17480118.89,17132855.97,14893148.42,15572715.21,14008829.5,11552350.72,11401092.89,11630558.62,9379385.93,8019273.07,7694075.63,7904339.13,6161566.54,5474523.53,4675739.46,4197052.28,3046182.72,1859900.61,1027166.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2010 Q4,38152161.39,32481895.19,34333802.17,28938740.61,34366062.19,31905580.28,33270584.63,33619557.78,28841144.7,32461268.39,29464254.0,23612374.67,25618471.19,28332947.11,20890164.58,25867910.11,21185567.7,22219129.06,22404892.04,16665507.55,20327712.8,18365300.05,18480839.72,17253541.48,13798778.9,12836745.0,11248520.55,13031562.95,10709215.98,11602605.61,8881469.21,7353990.36,6685807.88,6683774.87,6265305.22,4292290.51,3478769.03,2953499.67,1725089.46,822912.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011 Q1,42802566.39,39122598.07,40729306.3,35346081.45,33418810.75,36941510.39,32080760.58,27453401.77,27882769.83,32173479.57,29873871.3,29714504.42,31119821.0,30018676.75,28183280.9,25098004.74,23904236.88,24523327.53,19589972.34,21015071.09,20402835.4,19828769.02,17509852.46,16564976.4,17308012.59,12999818.91,12337238.84,11503621.62,12941642.02,11426419.2,9888522.83,9672776.83,7061136.97,7754429.9,6486869.24,5000640.62,3992415.91,2641253.5,1722694.77,921891.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2011 Q2,45157016.76,43285735.58,48857167.8,37660611.58,37738377.04,44579200.16,38087918.09,33854397.17,38853631.43,39524627.12,32357704.0,35301953.9,35729309.51,26003217.79,25567796.26,25350835.52,30609383.5,25734776.28,24703179.41,21472359.47,19519391.28,23120993.84,21356196.77,18474209.47,18449778.28,19055638.39,15100065.76,13065343.41,14219213.99,11805250.64,12545978.54,9056106.76,8468731.68,7217571.31,7715660.59,5873660.09,4392167.36,3294518.12,2226152.72,1071733.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2011 Q3,37049719.07,41427420.16,39565399.83,40075111.25,30653008.74,29510820.48,32312300.43,33433208.28,27719325.44,30385919.68,28146057.21,30224217.96,26840962.59,23870946.95,22061858.99,26569676.67,20722159.57,21568192.59,23699453.16,21298972.12,19763560.29,19571251.68,17971042.05,16068884.95,15786676.43,14628644.08,14283054.08,11508147.12,10482282.52,10581151.59,8860853.35,9189483.23,7069631.29,6038837.5,5570399.84,4502552.76,4327020.06,2564277.56,1717985.93,1061828.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2011 Q4,44277887.01,33253195.33,42367798.85,34491411.97,36005578.42,39914593.7,35002801.83,29085202.65,32656627.15,30338035.26,26596913.07,27156235.06,24029649.02,28573676.05,25068046.14,24742091.0,21430527.54,20241827.41,24067542.03,21981403.61,19597235.02,19219858.16,15536452.03,19077711.16,17640657.74,16525645.58,15764693.38,12800637.03,11331699.61,12547207.51,10636057.02,9935517.93,8720161.68,7846976.14,5976327.0,4798048.87,3497041.52,3391610.1,1796629.77,916690.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2012 Q1,46094610.84,41184233.18,47860094.98,44777039.54,39355155.48,34444475.13,40414467.52,32252397.08,32198653.95,38243508.34,29962292.12,28696349.98,27519524.21,26022690.36,30911398.4,30324753.8,23979195.38,23473089.28,22685331.88,21864440.44,23878688.34,21926866.55,20596651.61,20456574.35,15133359.88,16137314.81,17056483.98,15649967.04,14764446.43,11813213.45,12522452.95,9350561.13,7678593.86,8522450.72,5993019.48,6218866.53,4843882.79,3782344.42,2168342.31,1196820.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2012 Q2,40355707.61,47101659.41,48046501.99,42386109.45,45063496.97,38217071.11,39682723.42,37271374.43,34480878.8,36400545.19,39818358.95,38730094.6,32396386.02,30657916.82,32937179.39,32507680.35,26617417.4,29473092.32,27285950.38,21221084.45,20040414.63,19171252.63,23298976.27,18134789.1,17234700.29,19898101.83,17520891.6,14930207.74,15622699.07,13129972.11,13070811.13,9453449.34,8265861.43,7119850.63,7165226.34,6499166.31,4962245.99,3464450.08,2164835.56,1285802.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
