Cohort,Dev_0,Dev_1,Dev_2,Dev_3,Dev_4,Dev_5,Dev_6,Dev_7,Dev_8,Dev_9,Dev_10,Dev_11,Dev_12,Dev_13,Dev_14,Dev_15,Dev_16,Dev_17,Dev_18,Dev_19,Dev_20,Dev_21,Dev_22,Dev_23,Dev_24,Dev_25,Dev_26,Dev_27,Dev_28,Dev_29,Dev_30,Dev_31,Dev_32,Dev_33,Dev_34,Dev_35,Dev_36,Dev_37,Dev_38,Dev_39,Dev_40,Dev_41,Dev_42,Dev_43,Dev_44,Dev_45,Dev_46,Dev_47,Dev_48,Dev_49,Dev_50,Dev_51,Dev_52,Dev_53,Dev_54,Dev_55,Dev_56,Dev_57,Dev_58,Dev_59,Dev_60,Dev_61,Dev_62,Dev_63,Dev_64
2010 Q1,3695693.7,7309354.12,10343811.63,13655407.96,16606818.67,19268702.64,22131623.64,24939360.2,27463850.95,29973757.1,32251339.67,34390507.51,36458752.39,38647300.69,40749901.13,42603119.76,44357599.83,46175010.01,47865102.15,49398857.36,50985724.79,52507556.06,53848457.27,55220958.31,56464651.29,57783758.27,59051616.12,60175310.43,61356282.0,62452148.5,63495800.3,64528327.25,65440716.68,66404230.44,67341309.52,68171795.95,68994036.14,69799750.25,70595801.89,71345220.89,72003962.3,72681301.09,73291372.03,73959807.08,74569877.99,75145987.66,75699894.52,76239341.57,76737946.86,77192585.75,77638376.79,78105372.01,78557881.47,79005335.49,79411952.45,79818327.32,80177968.93,80560409.91,80900324.62,81243465.14,81561495.33,81874015.95,82178269.13,82447833.03,82703036.44
2010 Q2,3396018.14,6761396.66,9854588.28,12772905.53,15796109.0,18762382.3,21351544.42,23914229.24,26642824.35,28900541.8,31100172.88,33524048.29,35796753.89,37718314.17,39813871.17,41768581.74,43589488.42,45406948.68,47042924.95,48763798.15,50361263.54,51827362.96,53202319.04,54512187.13,55783386.16,57109066.85,58347870.1,59450361.69,60547272.41,61566015.6,62553660.38,63636065.92,64672572.64,65649998.67,66496343.03,67409412.5,68257735.61,69052170.66,69801929.14,70523696.59,71281582.4,71942302.83,72610977.64,73251459.62,73825322.76,74370172.48,74946487.72,75449901.01,75971059.94,76499595.48,76942870.63,77403003.65,77842131.98,78261991.79,78641321.17,79039189.68,79422255.02,79795533.23,80129498.79,80483262.97,80812661.28,81131615.89,81447746.58,81712339.13,
2010 Q3,3250697.74,6441533.26,9328644.2,12254399.16,15107571.85,17529310.85,20072108.69,22278102.32,24671847.9,26929272.28,28893484.36,30841472.75,32888850.15,34825067.4,36542169.68,38342570.07,39915252.91,41455835.66,43019791.67,44387977.48,45732195.07,47199645.72,48537570.18,49885353.75,51132668.27,52228633.21,53339774.15,54373712.62,55421972.05,56397112.93,57320061.71,58229781.69,59116699.86,59980534.04,60797107.23,61558186.18,62352336.55,63073252.8,63800930.91,64418849.52,65033805.78,65627910.02,66247035.42,66780966.76,67312323.87,67856841.27,68374657.66,68818631.9,69256528.63,69735975.95,70196705.12,70600112.29,70990301.71,71349862.49,71698349.22,72052959.95,72375235.28,72705821.58,72994108.92,73284461.9,73583140.06,73876310.75,74133921.01,,
2010 Q4,3317585.12,6228526.91,9295693.68,12097408.0,14833599.09,17428821.28,20033042.51,22489525.08,24831769.0,27054986.12,29068994.89,31022704.99,33032467.38,34871018.76,36730907.26,38520156.28,40038508.19,41515553.43,43095611.16,44620032.09,46044664.56,47390393.65,48659977.27,49847318.95,51105406.56,52230617.95,53274890.45,54367782.74,55349426.6,56336023.53,57286983.95,58186502.6,58991295.61,59815855.65,60603882.77,61375793.6,62081390.68,62792672.59,63489548.26,64124494.87,64730602.22,65361260.52,65986746.59,66579496.53,67119865.09,67671384.72,68128614.39,68568313.4,69020975.63,69427561.56,69818849.34,70210422.52,70567967.23,70911466.88,71260541.34,71623942.66,71941379.1,72245644.44,72529192.89,72806410.03,73107441.62,73358176.85,,,
2011 Q1,3329255.53,6660743.94,9822614.88,12928435.96,15941944.11,18550857.91,21015324.61,23328292.76,25528042.95,27893977.09,30231178.01,32224347.9,34257498.77,36057735.7,37820477.15,39632050.91,41238115.2,42944305.77,44566238.88,46040577.01,47490728.0,48922730.33,50266420.97,51636266.07,52811264.65,54053875.98,55154195.42,56342284.66,57453105.05,58484734.98,59517974.76,60529089.37,61383158.86,62192977.69,63064868.55,63850753.25,64617020.93,65360235.55,66065863.29,66775872.68,67411292.62,68086726.63,68667633.54,69232690.16,69838819.78,70347521.64,70890826.97,71430437.78,71878623.51,72344818.49,72797271.78,73207164.84,73622697.97,74008514.19,74403492.01,74745064.76,75081287.63,75412331.28,75745704.18,76047614.85,76333184.58,,,,
2011 Q2,3847038.72,7554382.52,10883540.51,14532661.14,17648778.41,20598104.42,23667972.38,26582100.39,29509623.21,32037400.18,34423778.04,36942936.7,39207311.62,41538738.01,43653190.74,45633577.5,47621721.95,49635537.53,51532601.1,53281513.2,55100655.12,56860783.79,58459970.91,60098239.59,61544328.96,62957604.76,64345433.85,65635693.59,66920910.4,68031101.29,69237963.98,70377912.85,71382852.91,72474916.31,73491244.33,74400172.35,75378314.84,76184962.48,77038781.95,77890562.4,78663816.46,79377506.55,80131748.42,80847771.05,81503170.62,82115914.53,82716394.67,83335531.01,83883198.35,84392289.93,84902330.65,85373529.21,85885981.59,86319776.38,86789428.18,87237106.4,87648912.26,88050880.61,88428870.39,88818709.84,,,,,
2011 Q3,3373533.2,6695465.88,9639565.59,12547292.16,15514597.34,18217080.7,20593226.87,22889828.02,25147171.23,27556092.79,29613388.73,31645734.23,33758574.09,35622716.22,37383675.73,39091856.66,40958809.14,42608411.4,44328043.46,45794824.79,47325393.36,48817223.64,50080810.66,51338964.35,52661709.84,53825163.47,54997471.3,56023376.49,57119640.57,58143882.42,59063021.41,59966793.75,60821059.79,61652631.82,62471046.52,63262159.91,64003338.7,64702833.18,65434611.03,66152564.13,66868073.9,67486979.07,68128829.26,68716583.5,69270635.94,69781023.65,70269332.41,70758964.69,71250535.85,71704951.75,72154092.99,72584698.68,72986882.92,73395019.71,73777433.88,74160225.93,74519181.75,74849208.75,75146272.85,,,,,,
2011 Q4,3524668.45,6766305.47,9813170.88,12853394.15,15871464.6,18855858.38,21391121.53,23903631.14,26359916.59,28767396.92,31011495.18,33314460.81,35539424.83,37544624.19,39534652.64,41259501.74,42966586.31,44642433.29,46268647.37,47748783.37,49305879.21,50661710.27,52172144.5,53481245.71,54870806.65,56030947.24,57236743.93,58369884.43,59559813.06,60586914.03,61668770.76,62725265.14,63612208.89,64524777.06,65424040.59,66245411.55,66996433.36,67762034.88,68448836.11,69215990.07,69948728.21,70559334.22,71160768.68,71771871.34,72383607.02,72984658.74,73499822.95,74007408.43,74479533.49,74970614.26,75446042.96,75865139.91,76290293.57,76729741.92,77116087.08,77475627.58,77864607.36,78210251.5,,,,,,,
2012 Q1,3706557.24,7384731.37,10941271.79,14227049.97,17543237.38,20733634.58,23743067.64,26473877.47,29046132.96,31674478.16,34271656.12,36678224.1,38927292.54,41229666.58,43468213.36,45509023.53,47442154.23,49308983.82,51079773.81,52816194.81,54429853.93,56048082.2,57727505.55,59319506.81,60659006.68,62037171.49,63373564.56,64590937.52,65911234.66,67051782.16,68200363.71,69295349.95,70287047.73,71273146.84,72188096.62,73077939.66,73991596.26,74814594.87,75625497.51,76448203.46,77245837.67,77981477.45,78647664.97,79274951.49,79906800.78,80517693.5,81126757.51,81690846.86,82218220.08,82712400.23,83194314.84,83704972.83,84155881.31,84579676.32,84993056.95,85377626.72,85794877.91,,,,,,,,
2012 Q2,3779286.37,7457849.97,10888577.26,14521274.9,17903287.19,21267548.55,24245750.73,27271696.57,30330729.2,33166077.79,35939945.71,38654980.56,41154158.98,43350710.04,45529837.32,47864991.16,50038645.58,52091288.22,53928555.32,55775225.01,57654452.48,59481842.9,61057280.78,62729197.6,64309791.97,65653485.07,67080443.3,68417220.16,69644935.49,70853850.23,72133956.45,73246741.82,74273325.9,75411629.96,76478920.52,77473750.78,78413277.57,79290626.15,80195868.43,80992516.03,81814052.29,82613061.17,83371770.73,84087137.78,84780222.91,85395259.28,86041155.0,86635334.36,87209174.98,87795138.67,88327563.57,88876550.84,89378264.89,89853756.58,90308986.72,90743359.61,,,,,,,,,
