Cohort,Dev_0,Dev_1,Dev_2,Dev_3,Dev_4,Dev_5,Dev_6,Dev_7,Dev_8,Dev_9,Dev_10,Dev_11,Dev_12,Dev_13,Dev_14,Dev_15,Dev_16,Dev_17,Dev_18,Dev_19,Dev_20,Dev_21,Dev_22,Dev_23,Dev_24,Dev_25,Dev_26,Dev_27,Dev_28,Dev_29,Dev_30,Dev_31,Dev_32,Dev_33,Dev_34,Dev_35,Dev_36,Dev_37,Dev_38,Dev_39,Dev_40,Dev_41,Dev_42,Dev_43,Dev_44,Dev_45,Dev_46,Dev_47,Dev_48,Dev_49,Dev_50,Dev_51,Dev_52,Dev_53,Dev_54,Dev_55,Dev_56,Dev_57,Dev_58,Dev_59,Dev_60,Dev_61,Dev_62,Dev_63,Dev_64
2010 Q1,91749.0,164058.0,211775.0,247884.0,272292.0,289702.0,302622.0,310676.0,316312.0,320831.0,323780.0,325860.0,327316.0,328322.0,329040.0,329525.0,329904.0,330171.0,330341.0,330468.0,330559.0,330620.0,330663.0,330693.0,330714.0,330730.0,330742.0,330749.0,330754.0,330758.0,330761.0,330762.0,330764.0,330765.0,330765.0,330766.0,330766.0,330766.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0,330767.0
2010 Q2,108380.0,173871.0,225336.0,261696.0,287756.0,304234.0,316372.0,325294.0,331839.0,336250.0,339253.0,341546.0,343126.0,344247.0,345002.0,345539.0,345907.0,346168.0,346360.0,346482.0,346578.0,346647.0,346691.0,346720.0,346743.0,346759.0,346771.0,346778.0,346784.0,346788.0,346790.0,346792.0,346794.0,346795.0,346796.0,346796.0,346796.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,346797.0,
2010 Q3,86694.0,147828.0,194100.0,227091.0,249788.0,265367.0,276740.0,283846.0,289506.0,292952.0,295716.0,297443.0,298810.0,299665.0,300316.0,300800.0,301107.0,301352.0,301515.0,301632.0,301708.0,301766.0,301803.0,301832.0,301853.0,301866.0,301876.0,301882.0,301887.0,301891.0,301893.0,301895.0,301896.0,301897.0,301897.0,301898.0,301898.0,301898.0,301898.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,301899.0,,
2010 Q4,83158.0,140248.0,182449.0,212043.0,235332.0,251206.0,262739.0,269838.0,275215.0,279264.0,282018.0,283746.0,285163.0,286077.0,286735.0,287219.0,287520.0,287756.0,287924.0,288032.0,288106.0,288158.0,288199.0,288226.0,288246.0,288261.0,288270.0,288278.0,288282.0,288286.0,288289.0,288290.0,288291.0,288292.0,288293.0,288293.0,288293.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,288294.0,,,
2011 Q1,83764.0,144413.0,187812.0,220174.0,243732.0,259796.0,270611.0,278268.0,284000.0,287784.0,290367.0,292201.0,293457.0,294432.0,295150.0,295610.0,295936.0,296155.0,296332.0,296450.0,296536.0,296599.0,296637.0,296666.0,296686.0,296702.0,296712.0,296719.0,296724.0,296728.0,296730.0,296732.0,296733.0,296734.0,296735.0,296735.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,296736.0,,,,
2011 Q2,104653.0,173727.0,225301.0,262067.0,285820.0,303403.0,315955.0,325645.0,331947.0,336298.0,339591.0,341912.0,343458.0,344646.0,345416.0,345974.0,346348.0,346626.0,346832.0,346970.0,347064.0,347137.0,347182.0,347217.0,347241.0,347257.0,347269.0,347276.0,347282.0,347286.0,347289.0,347291.0,347292.0,347293.0,347294.0,347295.0,347295.0,347295.0,347295.0,347295.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,347296.0,,,,,
2011 Q3,100330.0,167022.0,216950.0,248603.0,270945.0,286421.0,298683.0,307388.0,313557.0,317878.0,320884.0,322927.0,324335.0,325389.0,326066.0,326562.0,326925.0,327190.0,327357.0,327477.0,327565.0,327622.0,327666.0,327698.0,327719.0,327734.0,327744.0,327752.0,327757.0,327761.0,327764.0,327766.0,327767.0,327768.0,327769.0,327769.0,327769.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,327770.0,,,,,,
2011 Q4,99283.0,172497.0,220826.0,253701.0,278341.0,296586.0,309487.0,318486.0,324993.0,329161.0,332302.0,334350.0,335845.0,336838.0,337592.0,338115.0,338464.0,338741.0,338937.0,339074.0,339163.0,339232.0,339278.0,339308.0,339329.0,339344.0,339355.0,339362.0,339367.0,339371.0,339374.0,339376.0,339377.0,339378.0,339379.0,339380.0,339380.0,339380.0,339380.0,339380.0,339380.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,339381.0,,,,,,,
2012 Q1,107567.0,181145.0,230637.0,266281.0,290234.0,307066.0,320315.0,329737.0,335719.0,340262.0,343265.0,345352.0,346890.0,347962.0,348758.0,349270.0,349645.0,349921.0,350096.0,350225.0,350324.0,350394.0,350443.0,350475.0,350498.0,350514.0,350525.0,350533.0,350539.0,350543.0,350546.0,350548.0,350549.0,350550.0,350551.0,350551.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,350552.0,,,,,,,,
2012 Q2,112817.0,191027.0,247653.0,287187.0,314810.0,332194.0,345253.0,354870.0,361595.0,365933.0,369265.0,371479.0,373201.0,374395.0,375173.0,375715.0,376115.0,376372.0,376570.0,376704.0,376800.0,376871.0,376921.0,376955.0,376978.0,376996.0,377008.0,377016.0,377022.0,377026.0,377029.0,377031.0,377033.0,377034.0,377034.0,377035.0,377035.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,377036.0,,,,,,,,,
