Cohort,Dev_0,Dev_1,Dev_2,Dev_3,Dev_4,Dev_5,Dev_6,Dev_7,Dev_8,Dev_9,Dev_10,Dev_11,Dev_12,Dev_13,Dev_14,Dev_15,Dev_16,Dev_17,Dev_18,Dev_19,Dev_20,Dev_21,Dev_22,Dev_23,Dev_24,Dev_25,Dev_26,Dev_27,Dev_28,Dev_29,Dev_30,Dev_31,Dev_32,Dev_33,Dev_34,Dev_35,Dev_36,Dev_37,Dev_38,Dev_39,Dev_40,Dev_41,Dev_42,Dev_43,Dev_44,Dev_45,Dev_46,Dev_47,Dev_48,Dev_49,Dev_50,Dev_51,Dev_52,Dev_53,Dev_54,Dev_55,Dev_56,Dev_57,Dev_58,Dev_59,Dev_60,Dev_61,Dev_62,Dev_63,Dev_64
2010 Q1,154673412.23,265600023.62,333918500.79,388602871.81,424348603.24,447994313.87,466646997.51,480064047.18,488912007.48,495364025.56,499658212.36,502616363.6,504714077.14,506342132.13,507489330.17,508230942.62,508745895.52,509137133.25,509403983.04,509581598.7,509716381.53,509811186.06,509872453.27,509918448.5,509949017.55,509972797.85,509989561.82,510000459.22,510008859.3,510014576.32,510018569.66,510021467.35,510023345.36,510024799.96,510025837.57,510026512.03,510027001.8,510027353.8,510027608.88,510027785.0,510027898.55,510027984.19,510028040.76,510028086.22,510028116.65,510028137.73,510028152.59,510028163.21,510028170.4,510028175.22,510028178.68,510028181.34,510028183.23,510028184.6,510028185.51,510028186.18,510028186.62,510028186.96,510028187.18,510028187.34,510028187.45,510028187.53,510028187.59,510028187.63,510028187.65
2010 Q2,142122415.04,245421198.63,315057680.87,363244827.62,399857783.89,426205761.96,443073781.14,455319061.95,464881780.18,470685154.22,474832111.21,478183761.42,480488704.94,481918059.02,483061342.71,483843520.89,484377937.12,484769161.2,485027450.47,485226722.78,485362397.29,485453724.23,485516543.52,485560437.05,485591680.23,485615577.55,485631956.32,485642647.44,485650449.11,485655763.46,485659542.27,485662579.74,485664713.1,485666188.61,485667125.69,485667867.17,485668372.45,485668719.5,485668959.73,485669129.35,485669259.98,485669343.5,485669405.5,485669449.06,485669477.68,485669497.62,485669513.08,485669522.99,485669530.51,485669536.11,485669539.55,485669542.17,485669544.0,485669545.29,485669546.14,485669546.8,485669547.26,485669547.59,485669547.81,485669547.98,485669548.09,485669548.17,485669548.23,485669548.27,
2010 Q3,136090028.95,234066737.32,299087283.08,347414723.98,381981001.87,403499928.54,420071886.15,430616603.54,439008833.79,444813554.44,448518016.91,451212601.97,453289772.48,454730550.38,455667697.63,456388389.25,456850121.53,457181865.34,457428873.35,457587362.78,457701569.98,457793014.18,457854163.68,457899344.1,457930011.34,457949774.85,457964471.06,457974501.03,457981959.38,457987048.11,457990580.66,457993134.47,457994960.6,457996265.11,457997169.55,457997787.83,457998261.01,457998576.06,457998809.29,457998954.56,457999060.59,457999135.73,457999193.15,457999229.48,457999255.99,457999275.92,457999289.82,457999298.56,457999304.88,457999309.96,457999313.54,457999315.83,457999317.46,457999318.57,457999319.35,457999319.93,457999320.32,457999320.62,457999320.8,457999320.94,457999321.05,457999321.12,457999321.17,,
2010 Q4,138881871.37,228258859.91,297330265.93,343606015.97,376753055.91,399812115.16,416783357.02,428524710.1,436735884.76,442452299.88,446250448.44,448952784.92,450991669.9,452359690.06,453374704.78,454090889.3,454536643.35,454854686.0,455104222.01,455280798.92,455401831.01,455485685.06,455543707.56,455583507.23,455614437.48,455634727.17,455648538.13,455659139.35,455666123.31,455671271.51,455674911.06,455677436.07,455679093.01,455680338.14,455681210.91,455681837.95,455682258.34,455682569.16,455682792.51,455682941.77,455683046.27,455683126.02,455683184.03,455683224.36,455683251.32,455683271.5,455683283.77,455683292.43,455683298.96,455683303.27,455683306.31,455683308.54,455683310.03,455683311.09,455683311.87,455683312.47,455683312.85,455683313.12,455683313.31,455683313.44,455683313.55,455683313.61,,,
2011 Q1,139387177.71,241688844.86,312901512.64,364206343.31,400717274.43,423900773.07,439963190.65,451019910.93,458732474.27,464816579.84,469224755.05,471982003.04,474044863.4,475384535.76,476346649.15,477071856.8,477543417.92,477910845.12,478167025.25,478337821.48,478461036.35,478550276.92,478611693.64,478657616.35,478686507.32,478708916.65,478723470.6,478734996.63,478742900.57,478748284.41,478752239.33,478755077.95,478756836.55,478758059.56,478759025.33,478759663.8,478760120.39,478760445.21,478760671.39,478760838.32,478760947.88,478761033.31,478761087.19,478761125.64,478761155.88,478761174.5,478761189.08,478761199.71,478761206.18,478761211.12,478761214.63,478761216.97,478761218.7,478761219.89,478761220.77,478761221.34,478761221.74,478761222.04,478761222.25,478761222.4,478761222.5,,,,
2011 Q2,161022726.84,274835810.93,349796306.08,410059892.16,447804007.94,474005556.12,494008438.43,507935202.5,518196696.46,524695265.94,529195000.94,532678951.29,534975805.78,536710310.82,537864084.29,538656660.97,539240251.09,539673810.28,539973367.15,540175918.02,540330443.97,540440103.89,540513179.35,540568086.15,540603633.3,540629113.64,540647465.63,540659979.54,540669121.95,540674914.25,540679532.52,540682731.98,540684800.69,540686449.52,540687574.98,540688313.22,540688895.91,540689248.35,540689521.96,540689722.16,540689855.46,540689945.7,540690015.64,540690064.35,540690097.04,540690119.46,540690135.58,540690147.76,540690155.67,540690161.06,540690165.02,540690167.7,540690169.85,540690171.17,540690172.23,540690172.97,540690173.47,540690173.82,540690174.07,540690174.25,,,,,
2011 Q3,141211368.24,243198225.65,309492284.19,357514740.37,393458353.25,417468303.15,432951837.04,443928017.15,451840849.27,458034200.72,461913636.32,464724488.64,466867753.19,468254690.82,469215630.2,469899304.42,470447350.79,470802517.29,471074071.78,471243956.98,471373977.44,471466926.93,471524670.21,471566839.73,471599356.7,471620334.09,471635836.99,471645787.54,471653586.27,471658930.43,471662447.87,471664984.6,471666743.24,471667998.84,471668905.19,471669547.77,471669989.32,471670294.96,471670529.48,471670698.24,471670821.59,471670899.85,471670959.37,471670999.35,471671026.99,471671045.67,471671058.77,471671068.41,471671075.51,471671080.32,471671083.81,471671086.26,471671087.94,471671089.19,471671090.05,471671090.68,471671091.12,471671091.41,471671091.6,,,,,,
2011 Q4,147484472.47,246970278.28,315553632.22,365746225.99,402291585.93,428796579.72,445311000.15,457314744.38,465921838.45,472109252.37,476339414.41,479523401.52,481779590.88,483270938.29,484356486.87,485046583.32,485547519.54,485908206.52,486164916.37,486336286.51,486468512.73,486552958.24,486621957.03,486665818.34,486699965.51,486720875.62,486736815.63,486747802.32,486756264.32,486761621.47,486765760.12,486768724.44,486770549.7,486771927.1,486772922.62,486773589.54,486774036.79,486774371.2,486774591.22,486774771.48,486774897.76,486774974.94,486775030.69,486775072.25,486775102.75,486775124.74,486775138.56,486775148.55,486775155.36,486775160.56,486775164.25,486775166.64,486775168.41,486775169.76,486775170.63,486775171.22,486775171.69,486775172.0,,,,,,,
2012 Q1,155146585.38,268067011.15,348149337.39,402413847.13,442582329.03,470926242.85,490535830.55,503586835.14,512603279.31,519360565.45,524257906.24,527586229.2,529867614.86,531580548.86,532802066.19,533618845.59,534186301.47,534588225.77,534867850.36,535068959.61,535206034.38,535306856.13,535383599.93,535436957.41,535469885.25,535494733.19,535512405.45,535524212.75,535533604.94,535539555.77,535543951.13,535547024.47,535549065.97,535550554.85,535551568.07,535552290.83,535552835.11,535553194.71,535553454.57,535553647.95,535553785.45,535553878.47,535553940.25,535553982.92,535554014.44,535554036.79,535554053.14,535554064.24,535554071.85,535554077.09,535554080.83,535554083.74,535554085.62,535554086.92,535554087.85,535554088.48,535554088.99,,,,,,,,
2012 Q2,158190968.38,271123447.85,348372916.89,408366840.69,449332684.73,479221256.65,498627359.27,513088881.49,523811619.06,531101102.28,536331621.08,540086562.01,542621653.71,544255858.29,545444952.95,546379536.31,547017596.65,547459526.47,547749648.68,547963526.92,548123160.94,548237014.38,548309006.47,548365042.44,548403896.95,548428123.39,548446993.3,548459958.7,548468692.3,548474999.84,548479898.52,548483021.82,548485135.14,548486853.83,548488035.76,548488843.79,548489403.48,548489786.83,548490076.93,548490264.17,548490405.8,548490506.83,548490577.19,548490625.85,548490660.43,548490682.93,548490700.26,548490711.96,548490720.24,548490726.45,548490730.58,548490733.71,548490735.81,548490737.26,548490738.29,548490739.0,,,,,,,,,
